ciudad,year,tasa_mensual_prom,tasa_ea_prom,n_meses,SMMLV,cuota_por_100m,cuota_en_smmlv
Barranquilla,2020,0.009151387237449808,0.11551666666666664,12,877803,1030940.8629291288,1.1744558436564112
Barranquilla,2021,0.008507576588282875,0.10700833333333332,12,908526,978915.6209933682,1.0774767271309442
Barranquilla,2022,0.01023582331904665,0.13011666666666663,12,1000000,1120878.3228908016,1.1208783228908017
Barranquilla,2023,0.01186533035536775,0.152075,12,1160000,1260872.4875438141,1.0869590409860466
Barranquilla,2024,0.009983904939183625,0.12665833333333334,12,1300000,1099739.9176491871,0.845953782807067
Bogotá,2020,0.009151387237449808,0.11551666666666664,12,877803,1030940.8629291288,1.1744558436564112
Bogotá,2021,0.008507576588282875,0.10700833333333332,12,908526,978915.6209933682,1.0774767271309442
Bogotá,2022,0.01023582331904665,0.13011666666666663,12,1000000,1120878.3228908016,1.1208783228908017
Bogotá,2023,0.01186533035536775,0.152075,12,1160000,1260872.4875438141,1.0869590409860466
Bogotá,2024,0.009983904939183625,0.12665833333333334,12,1300000,1099739.9176491871,0.845953782807067
Cali,2020,0.009151387237449808,0.11551666666666664,12,877803,1030940.8629291288,1.1744558436564112
Cali,2021,0.008507576588282875,0.10700833333333332,12,908526,978915.6209933682,1.0774767271309442
Cali,2022,0.01023582331904665,0.13011666666666663,12,1000000,1120878.3228908016,1.1208783228908017
Cali,2023,0.01186533035536775,0.152075,12,1160000,1260872.4875438141,1.0869590409860466
Cali,2024,0.009983904939183625,0.12665833333333334,12,1300000,1099739.9176491871,0.845953782807067
Medellín,2020,0.009151387237449808,0.11551666666666664,12,877803,1030940.8629291288,1.1744558436564112
Medellín,2021,0.008507576588282875,0.10700833333333332,12,908526,978915.6209933682,1.0774767271309442
Medellín,2022,0.01023582331904665,0.13011666666666663,12,1000000,1120878.3228908016,1.1208783228908017
Medellín,2023,0.01186533035536775,0.152075,12,1160000,1260872.4875438141,1.0869590409860466
Medellín,2024,0.009983904939183625,0.12665833333333334,12,1300000,1099739.9176491871,0.845953782807067
