mes,tasa_media_ea,n_obs,tasa_mensual,tipo_tasa
2020-01-01,0.1143,1,0.009059659612918658,EA
2020-02-01,0.11630000000000001,1,0.009210461389577596,EA
2020-03-01,0.11599999999999999,1,0.009187856919632198,EA
2020-04-01,0.11599999999999999,1,0.009187856919632198,EA
2020-05-01,0.1159,1,0.009180320858506619,EA
2020-06-01,0.11699999999999999,1,0.009263183504735206,EA
2020-07-01,0.1168,1,0.00924812313442458,EA
2020-08-01,0.1166,1,0.009233060291607975,EA
2020-09-01,0.1152,1,0.009127551090365449,EA
2020-10-01,0.1148,1,0.009097383303281914,EA
2020-11-01,0.11380000000000001,1,0.009021920402873196,EA
2020-12-01,0.11349999999999999,1,0.008999269421842815,EA
2021-01-01,0.1134,1,0.008991717851690728,EA
2021-02-01,0.10880000000000001,1,0.00864367177285219,EA
2021-03-01,0.1065,1,0.008469152100937904,EA
2021-04-01,0.1073,1,0.008529892280164209,EA
2021-05-01,0.1069,1,0.008499527220680037,EA
2021-06-01,0.1054,1,0.008385568591497083,EA
2021-07-01,0.1054,1,0.008385568591497083,EA
2021-08-01,0.1051,1,0.008362759856586965,EA
2021-09-01,0.10460000000000001,1,0.008324732682334135,EA
2021-10-01,0.10460000000000001,1,0.008324732682334135,EA
2021-11-01,0.10779999999999999,1,0.008567834467890334,EA
2021-12-01,0.10830000000000001,1,0.008605760960930242,EA
2022-01-01,0.10710000000000001,1,0.008514711007518994,EA
2022-02-01,0.1084,1,0.008613344377370158,EA
2022-03-01,0.1119,1,0.008878369629486071,EA
2022-04-01,0.1165,1,0.009225527942744893,EA
2022-05-01,0.121,1,0.009563872988093358,EA
2022-06-01,0.12369999999999999,1,0.009766282888155509,EA
2022-07-01,0.12619999999999998,1,0.009953302349270388,EA
2022-08-01,0.1351,1,0.010616016980723009,EA
2022-09-01,0.14400000000000002,1,0.011273985471853543,EA
2022-10-01,0.1535,1,0.01197115404673288,EA
2022-11-01,0.1561,1,0.012161040676234691,EA
2022-12-01,0.15789999999999998,1,0.012292271470377036,EA
2023-01-01,0.16579999999999998,1,0.01286602639302048,EA
2023-02-01,0.16570000000000001,1,0.012858785972641451,EA
2023-03-01,0.1589,1,0.012365096685221344,EA
2023-04-01,0.1548,1,0.012066146348671314,EA
2023-05-01,0.1505,1,0.011751565954746246,EA
2023-06-01,0.15039999999999998,1,0.011744237315936434,EA
2023-07-01,0.1502,1,0.011729578286258091,EA
2023-08-01,0.1483,1,0.011590200849890264,EA
2023-09-01,0.1456,1,0.011391774086256135,EA
2023-10-01,0.147,1,0.011494715485939944,EA
2023-11-01,0.1446,1,0.011318173888470229,EA
2023-12-01,0.1431,1,0.011207662997361645,EA
2024-01-01,0.1449,1,0.011340260134872437,EA
2024-02-01,0.1426,1,0.011170796492360857,EA
2024-03-01,0.1361,1,0.010690181384565234,EA
2024-04-01,0.1335,1,0.01049722926559582,EA
2024-05-01,0.1317,1,0.010363409223598241,EA
2024-06-01,0.1306,1,0.010281534228690825,EA
2024-07-01,0.1243,1,0.00981120231726651,EA
2024-08-01,0.1182,1,0.009353493851457895,EA
2024-09-01,0.1162,1,0.009202927185061327,EA
2024-10-01,0.1151,1,0.00912001007360197,EA
2024-11-01,0.1144,1,0.009067205592138805,EA
2024-12-01,0.11230000000000001,1,0.008908609520994037,EA
